,time,open,high,low,close,tick_volume,spread,real_volume
2564,2023-09-25 15:30:00,1924.35,1926.44,1923.63,1926.26,1649,26,0
2565,2023-09-25 15:45:00,1926.29,1926.71,1925.21,1925.77,1497,26,0
2566,2023-09-25 16:00:00,1925.69,1926.19,1924.32,1924.36,1927,26,0
2567,2023-09-25 16:15:00,1924.33,1924.48,1922.62,1923.28,1535,26,0
2568,2023-09-25 16:30:00,1923.28,1924.11,1922.13,1923.28,2614,26,0
2569,2023-09-25 16:45:00,1923.24,1926.2,1922.73,1925.19,2170,27,0
2570,2023-09-25 17:00:00,1925.16,1925.4,1921.56,1922.77,2087,26,0
2571,2023-09-25 17:15:00,1922.77,1922.87,1915.02,1916.46,3215,26,0
2572,2023-09-25 17:30:00,1916.43,1917.32,1915.68,1916.87,2797,26,0
2573,2023-09-25 17:45:00,1916.88,1918.79,1916.38,1916.72,2393,26,0
2574,2023-09-25 18:00:00,1916.78,1917.77,1915.79,1916.79,2110,26,0
2575,2023-09-25 18:15:00,1916.83,1918.65,1916.83,1917.84,1829,26,0
2576,2023-09-25 18:30:00,1917.84,1919.05,1917.39,1918.02,1573,27,0
2577,2023-09-25 18:45:00,1918.0,1918.36,1916.11,1917.34,1260,29,0
2578,2023-09-25 19:00:00,1917.35,1918.15,1916.67,1916.86,936,29,0
2579,2023-09-25 19:15:00,1916.78,1916.89,1915.93,1916.22,951,26,0
2580,2023-09-25 19:30:00,1916.29,1916.62,1915.63,1916.03,1004,26,0
2581,2023-09-25 19:45:00,1916.06,1916.82,1915.9,1916.61,783,27,0
2582,2023-09-25 20:00:00,1916.61,1917.2,1915.91,1917.01,748,31,0
2583,2023-09-25 20:15:00,1916.93,1917.5,1916.04,1917.38,828,26,0
2584,2023-09-25 20:30:00,1917.38,1917.4,1915.95,1915.97,579,27,0
2585,2023-09-25 20:45:00,1915.96,1916.06,1915.39,1915.82,639,27,0
2586,2023-09-25 21:00:00,1915.84,1916.41,1915.74,1915.82,416,29,0
2587,2023-09-25 21:15:00,1915.8,1917.1,1915.79,1916.46,564,26,0
2588,2023-09-25 21:30:00,1916.56,1916.65,1915.19,1915.36,528,30,0
2589,2023-09-25 21:45:00,1915.36,1915.94,1915.08,1915.49,626,29,0
2590,2023-09-25 22:00:00,1915.5,1915.96,1915.45,1915.95,553,28,0
2591,2023-09-25 22:15:00,1915.96,1916.03,1915.73,1915.93,612,26,0
2592,2023-09-25 22:30:00,1915.88,1916.02,1915.38,1915.46,524,30,0
2593,2023-09-25 22:45:00,1915.45,1915.84,1915.34,1915.4,490,33,0
2594,2023-09-25 23:00:00,1915.4,1915.67,1915.33,1915.64,213,33,0
2595,2023-09-25 23:15:00,1915.64,1915.77,1915.42,1915.52,152,33,0
2596,2023-09-25 23:30:00,1915.52,1915.69,1915.44,1915.62,156,35,0
2597,2023-09-25 23:45:00,1915.62,1915.96,1915.5,1915.65,189,33,0
2598,2023-09-26 01:00:00,1915.9,1916.14,1915.5,1916.05,172,28,0
2599,2023-09-26 01:15:00,1916.06,1916.69,1916.05,1916.64,150,26,0
2600,2023-09-26 01:30:00,1916.61,1916.61,1916.35,1916.45,117,32,0
2601,2023-09-26 01:45:00,1916.54,1916.56,1916.36,1916.37,143,28,0
2602,2023-09-26 02:00:00,1916.46,1916.51,1916.23,1916.38,127,30,0
2603,2023-09-26 02:15:00,1916.38,1916.45,1916.28,1916.3,116,42,0
2604,2023-09-26 02:30:00,1916.3,1916.38,1915.95,1916.32,226,34,0
2605,2023-09-26 02:45:00,1916.33,1916.56,1916.06,1916.1,182,35,0
2606,2023-09-26 03:00:00,1916.1,1916.37,1915.73,1916.03,382,32,0
2607,2023-09-26 03:15:00,1916.04,1916.16,1915.34,1915.36,434,33,0
2608,2023-09-26 03:30:00,1915.35,1915.38,1914.85,1915.32,523,30,0
